All Quarterbacks NFL Standard Stats
,,Upcoming,,Passing,,,,,,Rushing,,,,Receiving,,,,,,,
Player,Team,Opp,Bye,Att,Cmp,Yd,TD,Int,Rate,Att,Yd,Avg,TD,Tar,Recpt,Yd,Avg,TD,FL,FPTS,
"Hanie, Caleb QB BAL",Free Agent,@DEN,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Crist, Dayne QB BAL",Free Agent,@DEN,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Coleman, B.J. QB GB",Free Agent,@SF,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Carder, Alex QB DET",Free Agent,MIN,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Bethel-Thompson, McLeod QB MIN",Free Agent,@DET,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Nesbitt, Joshua QB BUF",Free Agent,NE,12,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Stanzi, Ricky QB KC ",Free Agent,@JAC,10,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Clemens, Kellen QB STL",Free Agent,ARI,11,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Doege, Seth QB ATL",Free Agent,@NO,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Clausen, Jimmy QB CAR",Free Agent,SEA,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Leinart, Matt QB OAK",Free Agent,@IND,7,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Johnson, Josh QB CIN ",Free Agent,@CHI,12,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"McGee, Stephen QB HOU",Free Agent,@SD,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"McElroy, Greg QB NYJ",Free Agent,TB,10,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Garrard, David QB NYJ",Free Agent,TB,10,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Keenum, Case QB HOU",Free Agent,@SD,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"McCoy, Colt QB SF",Free Agent,GB,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Belton, Clay QB MIA",Free Agent,@CLE,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Bartel, Richard QB ARI",Free Agent,@STL,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Moore, Kellen QB DET",Free Agent,MIN,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"O'Connell, Kevin QB SD",Free Agent,HOU,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Wilson, John Parker QB PIT",Free Agent,TEN,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Moore, Matt QB MIA",Free Agent,@CLE,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Quinn, Brady QB SEA",Free Agent,@CAR,12,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Blanchard, Matt QB CHI",Free Agent,CIN,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Beck, John QB HOU",Free Agent,@SD,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Rosenfels, Sage QB MIN ",Free Agent,@DET,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Smith, Troy QB PIT",Free Agent,TEN,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Daniel, Chase QB KC",Free Agent,@JAC,10,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Thigpen, Tyler QB BUF",Free Agent,NE,12,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Devlin, Pat QB MIA",Free Agent,@CLE,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Robinson, Zac QB CIN ",Free Agent,@CHI,12,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Ratliff, Brett QB TB",Free Agent,@NYJ,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Stephens, Nick QB DAL",Free Agent,NYG,11,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Jones, Landry QB PIT",Free Agent,TEN,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Williams, Dalton QB DAL",Free Agent,NYG,11,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Johnson, Jerrod QB SEA",Free Agent,@CAR,12,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Lewis, Thad QB DET",Free Agent,MIN,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Padron, Kyle QB OAK",Free Agent,@IND,7,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Kinne, G.J. QB PHI",Free Agent,@WAS,12,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Cameron, Colby QB CAR",Free Agent,SEA,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Nassib, Ryan QB NYG",Free Agent,@DAL,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Enderle, Nathan QB TEN",Free Agent,@PIT,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Vandenberg, James QB MIN",Free Agent,@DET,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Canfield, Sean QB NO",Free Agent,ATL,7,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Tebow, Tim QB NE ",Free Agent,@BUF,10,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Daniels, B.J. QB SF",Free Agent,GB,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Harris, Jacory QB PHI",Free Agent,@WAS,12,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Feeley, A.J. QB STL",Free Agent,ARI,11,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Klein, Collin QB FA",Free Agent,BYE,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Webb, Joe QB MIN ",Free Agent,@DET,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Hasselbeck, Matt QB IND",Free Agent,OAK,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Tolzien, Scott QB SF",Free Agent,GB,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Redman, Chris QB ATL",Free Agent,@NO,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Palmer, Jordan QB JAC",Free Agent,KC,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Dysert, Zac QB DEN",Free Agent,BAL,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Lindley, Ryan QB ARI",Free Agent,@STL,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Aplin, Ryan QB FA",Free Agent,BYE,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Brown, Matt QB GB",Free Agent,@SF,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Young, Vince QB BUF",Free Agent,NE,12,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Katz, Ryan QB DEN",Free Agent,BAL,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Scott, Matt QB JAC",Free Agent,KC,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Leftwich, Byron QB PIT",Free Agent,TEN,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Simms, Matt QB NYJ",Free Agent,TB,10,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Hermann, Mike QB SD",Free Agent,HOU,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"McCown, Luke QB NO",Free Agent,ATL,7,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Perrilloux, Ryan QB NYG",Free Agent,@DAL,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Kafka, Mike QB JAC",Free Agent,KC,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Batch, Charlie QB PIT",Free Agent,TEN,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Rodgers, Jordan QB JAC ",Free Agent,KC,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"McGloin, Matthew QB OAK",Free Agent,@IND,7,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"White, Pat QB WAS",Free Agent,PHI,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"TerBush, Caleb QB ARI",Free Agent,@STL,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Smith, Rusty QB TEN",Free Agent,@PIT,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Jenkins, Tim QB STL",Free Agent,ARI,11,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Weber, Adam QB TB",Free Agent,@NYJ,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Edwards, Trent QB PHI",Free Agent,@WAS,12,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Carpenter, Rudy QB DAL",Free Agent,NYG,11,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Griffin, Ryan QB NO",Free Agent,ATL,7,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Murray, Aaron QB FA",Free Agent,BYE,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
