All Running Backs NFL Standard Stats
,,Upcoming,,Passing,,,,,,Rushing,,,,Receiving,,,,,,,
Player,Team,Opp,Bye,Att,Cmp,Yd,TD,Int,Rate,Att,Yd,Avg,TD,Tar,Recpt,Yd,Avg,TD,FL,FPTS,
"Bohanon, Tommy RB NYJ",Free Agent,TB,10,0,0,0,0,0,0.0,0.7,2.7,3.9,0,0,2.3,22.3,9.7,0,0,3.30
"Smith, Michael RB TB",Free Agent,@NYJ,5,0,0,0,0,0,0.0,12.3,51.7,4.2,0,0,1.0,6.0,6.0,0,0,3
"Burkhead, Rex RB CIN",Free Agent,@CHI,12,0,0,0,0,0,0.0,8.0,32.7,4.1,0.3,0,0,0,0.0,0,0,2.80
"Ewing, Bradie RB ATL",Free Agent,@NO,6,0,0,0,0,0,0.0,2.7,9.0,3.3,0,0,2.3,15.3,6.7,0,0,2.30
"Lorig, Erik RB TB",Free Agent,@NYJ,5,0,0,0,0,0,0.0,2.7,10.3,3.8,0,0,2.3,12.7,5.5,0,0,2.30
"Marecic, Owen RB CLE",Free Agent,MIA,10,0,0,0,0,0,0.0,2.7,11.7,4.3,0,0,2.0,12.0,6.0,0,0,2
"Davis, Tristan RB WAS ",Free Agent,PHI,5,0,0,0,0,0,0.0,5.0,21.7,4.3,0,0,1.0,9.0,9.0,0,0,2
"Griffin, John RB NYJ",Free Agent,TB,10,0,0,0,0,0,0.0,1.3,6.3,4.8,0,0,1.7,14.3,8.4,0,0,1.70
"Cadet, Travaris RB NO",Free Agent,ATL,7,0,0,0,0,0,0.0,3.0,11.7,3.9,0,0,1.7,15.0,8.8,0,0,1.70
"Ta'ufo'ou, Will RB JAC",Free Agent,KC,9,0,0,0,0,0,0.0,1.0,2.7,2.7,0,0,1.7,7.3,4.3,0,0,1.70
"Juszczyk, Kyle RB BAL ",Free Agent,@DEN,8,0,0,0,0,0,0.0,0,0,0.0,0,0,1.3,10.7,8.2,0,0,1.30
"Clutts, Tyler RB HOU",Free Agent,@SD,8,0,0,0,0,0,0.0,0,0,0.0,0,0,1.3,10.3,7.9,0,0,1.30
"Williams, Kerwynn RB IND ",Free Agent,OAK,8,0,0,0,0,0,0.0,7.3,35.3,4.8,0,0,0,0,0.0,0,0,1
"Gronkowski, Chris RB SD",Free Agent,HOU,8,0,0,0,0,0,0.0,0.7,2.0,2.9,0,0,1.0,5.0,5.0,0,0,1
"Fiammetta, Tony RB CHI",Free Agent,CIN,8,0,0,0,0,0,0.0,1.3,6.3,4.8,0,0,1.0,8.0,8.0,0,0,1
"Herron, Dan RB CIN",Free Agent,@CHI,12,0,0,0,0,0,0.0,11.0,41.0,3.7,0,0,0,0,0.0,0,0,1
"Parmele, Jalen RB TEN",Free Agent,@PIT,8,0,0,0,0,0,0.0,8.0,29.0,3.6,0,0,0,0,0.0,0,0,1
"Chapas, Shaun RB DET",Free Agent,MIN,9,0,0,0,0,0,0.0,2.0,8.3,4.2,0,0,1.0,7.0,7.0,0,0,1
"Hilliard, Lex RB NYJ",Free Agent,TB,10,0,0,0,0,0,0.0,3.7,13.0,3.5,0,0,1.0,8.3,8.3,0,0,1
"Igwenagu, Emil RB PHI",Free Agent,@WAS,12,0,0,0,0,0,0.0,2.0,8.3,4.2,0,0,0.7,4.3,6.1,0,0,0.70
"Tonga, Manase RB OAK",Free Agent,@IND,7,0,0,0,0,0,0.0,0,2.0,0.0,0,0,0.7,3.0,4.3,0,0,0.70
"Eachus, Nate RB KC",Free Agent,@JAC,10,0,0,0,0,0,0.0,1.0,3.3,3.3,0,0,0.7,3.0,4.3,0,0,0.70
"McIntyre, Corey RB BUF",Free Agent,NE,12,0,0,0,0,0,0.0,0.3,0.7,2.3,0,0,0.7,5.0,7.1,0,0,0.70
"Asiata, Matt RB MIN",Free Agent,@DET,5,0,0,0,0,0,0.0,1.0,3.0,3.0,0,0,0.3,0.7,2.3,0,0,0.30
"Norris, Moran RB HOU",Free Agent,@SD,8,0,0,0,0,0,0.0,0.3,0,0.0,0,0,0.3,2.3,7.7,0,0,0.30
"Bolen, Brock RB CLE ",Free Agent,MIA,10,0,0,0,0,0,0.0,0.3,1.7,5.7,0,0,0.3,2.3,7.7,0,0,0.30
"Maui'a, Reagan RB ARI",Free Agent,@STL,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0.3,4.3,14.3,0,0,0.30
"Miller, Brit RB STL",Free Agent,ARI,11,0,0,0,0,0,0.0,0.7,1.7,2.4,0,0,0.3,4.7,15.7,0,0,0.30
"Logan, Stefan RB DET",Free Agent,MIN,9,0,0,0,0,0,0.0,3.0,16.0,5.3,0,0,0.7,5.3,7.6,0,0.7,0.30
"Hughes, Robert RB IND",Free Agent,OAK,8,0,0,0,0,0,0.0,0.3,1.7,5.7,0,0,0.3,1.0,3.3,0,0,0.30
"Murphy, Richard RB JAC",Free Agent,KC,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Reynolds, Chase RB STL",Free Agent,ARI,11,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Alston, Shawne RB NO",Free Agent,ATL,7,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Smith, Drew RB BUF",Free Agent,NE,12,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Pease, Angelo RB GB",Free Agent,@SF,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Cartwright, Rock RB SF",Free Agent,GB,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Williams, Jerodis RB MIN",Free Agent,@DET,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"McCoy, Jamie RB PIT",Free Agent,TEN,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Williams, Javarris RB DAL",Free Agent,NYG,11,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Larsen, Spencer RB TB",Free Agent,@NYJ,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Wells, Beanie RB ARI",CaMelToE,@STL,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Boyce, Dorson RB WAS",Free Agent,PHI,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Marshall, Cameron RB MIA",Free Agent,@CLE,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Maysonet, Miguel RB CLE",Free Agent,MIA,10,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Opurum, Toben RB KC",Free Agent,@JAC,10,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Miller, Steven RB DET",Free Agent,MIN,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Baker, Edwin RB SD",Free Agent,HOU,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Saine, Brandon RB GB",Free Agent,@SF,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Hall, Korey RB ARI",Free Agent,@STL,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,1.0,0.0,0,0,0
"Lawrence, Kendial RB DAL",Free Agent,NYG,11,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"McNeal, Curtis RB PIT",Free Agent,TEN,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Sofele, Isi RB FA",Free Agent,BYE,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Smith, Armond RB CAR",Free Agent,SEA,4,0,0,0,0,0,0.0,4.0,12.0,3.0,0,0,0,0,0.0,0,0,0
"Roberson, Ryan RB GB",Free Agent,@SF,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Hines, Quentin RB NE",Free Agent,@BUF,10,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Brown, Aaron RB CIN",Free Agent,@CHI,12,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Smith, Alfonso RB ARI",Free Agent,@STL,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Coleman, Derrick RB SEA",Free Agent,@CAR,12,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Clayton, Thomas RB ARI",Free Agent,@STL,9,0,0,0,0,0,0.0,1.7,3.3,1.9,0,0,0,0.3,0.0,0,0,0
"Whittaker, Fozzy RB SD",Free Agent,HOU,8,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Demps, Jeff RB TB ",Free Agent,@NYJ,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Moore, Devin RB DET",Free Agent,MIN,9,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Liaina, Ina RB MIA",Free Agent,@CLE,6,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Kettani, Eric RB WAS",Free Agent,PHI,5,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Cook, Jamaine RB CLE",Free Agent,MIA,10,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
"Zordich, Michael RB CAR",Free Agent,SEA,4,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0.0,0,0,0
