"PLAYER","TEAM","BYE","REC","REC YDS","REC TDS","RUSH ATT","RUSH YDS","RUSH TDS","FMBLS","PPR"
"Marvin Jones","DET","5","57.80","859.30","6.40","0.00","0.00","0.00","0.50","181.60"
"Christian Kirk","ARI","12","65.00","858.90","4.60","3.00","24.40","0.00","0.50","180.40"
"Will Fuller","HOU","10","58.50","836.10","6.00","0.50","2.40","0.00","0.40","178.00"
"Sterling Shepard","NYG","11","65.00","844.00","4.30","3.50","21.60","0.00","0.40","177.00"
"Dante Pettis","SF","4","56.90","823.40","6.20","0.90","0.10","0.00","0.40","176.10"
"Dede Westbrook","JAC","10","65.90","755.20","4.90","6.30","53.80","0.00","0.90","175.30"
"Larry Fitzgerald","ARI","12","66.50","732.90","5.60","0.00","0.00","0.00","0.50","172.90"
"Robby Anderson","NYJ","4","53.40","811.80","6.40","2.50","8.20","0.00","0.90","172.90"
"Corey Davis","TEN","11","60.30","787.80","4.40","3.70","30.80","0.00","0.50","168.10"
"Mohamed Sanu","ATL","9","61.60","756.10","4.00","4.90","32.50","0.10","0.50","164.60"
"Emmanuel Sanders","DEN","10","60.80","732.20","3.50","2.30","20.70","0.40","0.50","159.00"
"Curtis Samuel","CAR","7","49.90","618.90","4.40","12.20","111.60","1.50","0.40","158.00"
"Golden Tate","NYG","11","62.10","679.40","3.60","3.20","24.90","0.10","0.50","154.20"
"DeSean Jackson","PHI","10","45.40","749.40","4.20","4.00","27.90","0.50","0.40","150.90"
"Kenny Stills","MIA","5","47.00","735.20","5.00","0.00","0.00","0.00","0.50","150.00"
"Courtland Sutton","DEN","10","47.80","731.70","4.60","0.50","0.20","0.00","0.10","148.50"
"Jamison Crowder","NYJ","4","54.70","678.10","3.90","3.80","24.60","0.00","0.50","147.90"
"Marqise Lee","JAC","10","56.90","697.40","3.20","2.10","14.30","0.00","0.40","146.90"
"Geronimo Allison","GB","11","52.20","705.00","4.10","0.00","0.00","0.00","0.50","146.80"
"Tyrell Williams","OAK","6","50.60","729.00","3.80","0.60","3.90","0.00","0.50","146.20"
"Donte Moncrief","PIT","7","50.60","680.70","4.50","0.00","0.00","0.00","0.40","145.30"
"DaeSean Hamilton","DEN","10","57.50","628.20","4.10","0.00","0.00","0.00","0.40","144.50"
"Keke Coutee","HOU","10","56.30","621.00","3.50","5.90","21.10","0.10","0.50","141.60"
"Michael Gallup","DAL","8","46.40","697.30","4.10","0.00","-0.20","0.00","0.10","140.60"
"Albert Wilson","MIA","5","50.10","624.70","3.60","9.10","39.00","0.10","0.40","138.30"
"Devin Funchess","IND","6","46.80","595.40","5.10","0.00","0.00","0.00","0.40","136.50"
"Ted Ginn","NO","9","42.70","616.00","3.80","8.50","59.80","0.30","0.40","134.50"
"Parris Campbell","IND","6","48.00","597.80","3.90","4.00","23.50","0.10","0.80","133.30"
"James Washington","PIT","7","45.10","651.00","3.70","0.00","0.00","0.00","0.40","132.00"
"Adam Humphries","TEN","11","54.10","582.20","3.00","2.40","13.70","0.00","0.40","131.30"
"Anthony Miller","CHI","6","41.80","553.10","5.10","4.40","20.00","0.10","0.10","130.20"
"N'Keal Harry","NE","10","44.40","618.70","4.00","1.40","8.70","0.00","0.80","130.30"
"Paul Richardson","WAS","10","41.90","620.80","3.30","2.40","15.70","0.00","0.10","125.30"
"Devante Parker","MIA","5","45.50","608.70","3.10","0.00","0.00","0.00","0.10","124.90"
"Marquise Brown","BAL","8","39.50","593.60","3.70","7.10","47.30","0.10","0.80","125.60"
"Taylor Gabriel","CHI","6","49.20","552.60","2.60","7.10","52.40","0.10","0.50","125.40"
"Zay Jones","BUF","6","42.10","544.50","4.60","0.60","4.20","0.00","0.10","124.50"
"Marquez Valdes-Scantling","GB","11","42.40","604.40","3.30","2.30","19.40","0.00","0.40","124.20"
"Quincy Enunwa","NYJ","4","48.10","599.60","2.80","0.70","0.10","0.00","0.40","124.50"
"John Brown","BUF","6","38.60","592.40","4.10","0.80","2.70","0.00","0.10","122.60"
"Danny Amendola","DET","5","54.70","525.10","2.50","1.20","4.90","0.00","0.40","122.30"
"Marquise Goodwin","SF","4","38.00","592.10","3.80","2.50","13.20","0.00","0.10","121.20"
"Nelson Agholor","PHI","10","43.90","542.50","3.40","3.20","24.80","0.10","0.40","121.20"
"Cole Beasley","BUF","6","46.50","554.60","3.00","0.00","0.00","0.00","0.10","119.90"
"Josh Doctson","WAS","10","43.90","567.50","3.00","0.10","-0.30","0.00","0.10","118.50"
"Robert Foster","BUF","6","35.80","594.60","3.80","0.00","0.00","0.00","0.10","118.00"
